4 0.82
8 0.83
16 0.83
32 0.86
64 0.89
128 0.96
256 1.50
512 1.75
1024 2.04
2048 2.50
4096 2.84
8192 3.49
16384 4.77
32768 7.54
65536 12.83
131072 23.17
262144 43.83
524288 85.16
1048576 167.78
2097152 333.15
4194304 664.35
8388608 1429.77
