1, 1.155725
1, 1.056402
1, 1.152923
2, 0.692406
2, 0.596290
2, 0.598936
3, 0.503275
3, 0.502767
3, 0.502483
4, 0.408867
4, 0.408120
4, 0.408062
5, 0.352003
5, 0.351565
5, 0.351323
6, 0.314188
6, 0.313985
6, 0.313598
7, 0.287064
7, 0.286951
7, 0.286028
8, 0.266677
8, 0.266225
8, 0.266822
9, 0.251186
9, 0.250195
9, 0.250648
10, 0.296392
10, 0.279918
10, 0.279526
11, 0.228126
11, 0.228233
11, 0.226805
12, 0.219599
12, 0.219480
12, 0.218844
13, 0.213020
13, 0.212273
13, 0.212362
14, 0.206595
14, 0.205909
14, 0.206388
15, 0.201061
15, 0.200144
15, 0.200401
16, 0.196258
16, 0.195249
16, 0.196076
