1, 1.156752
1, 1.058092
1, 1.057371
2, 1.151638
2, 1.055140
2, 1.052716
3, 1.163470
3, 1.061892
3, 1.141029
4, 1.866539
4, 1.874780
4, 1.847658
5, 1.905439
5, 1.920535
5, 1.880784
6, 1.623091
6, 1.621366
6, 1.610692
7, 1.150221
7, 1.057742
7, 1.071040
8, 1.150219
8, 1.069067
8, 1.057512
9, 1.151891
9, 1.072558
9, 1.070064
10, 1.155392
10, 1.094648
10, 1.087042
11, 1.155525
11, 1.075801
11, 1.058265
12, 1.262094
12, 1.166585
12, 1.153653
13, 1.254760
13, 1.153055
13, 1.151667
14, 2.048054
14, 2.047955
14, 2.047441
15, 1.915416
15, 1.865943
15, 1.873774
16, 2.047218
16, 2.045968
16, 2.045992
